alien_name,enemy_name,alien1_species,alien1_home_planet,alien1_strength_level,alien1_speed_level,alien1_intelligence,alien2_species,alien2_home_planet,alien2_strength_level,alien2_speed_level,alien2_intelligence,winner
Water Hazard,Upgrade,Seaite,Xandar,9,10,8,Minuteite,Pandora,9,7,10,Upgrade
Spidermonkey,Walkatrout,Earlyite,Vega,10,4,6,Norite,Vulcan,9,9,7,Cannonbolt
XLR8,Gravattack,Withoutite,Beta Hydri,9,5,8,Greenite,Kratos IV,5,7,6,Gravattack
Rath,Ditto,Articleite,Alpha Centauri,5,8,5,Workite,Alpha Centauri,8,4,6,Ditto
Shock Rock,Walkatrout,Earlyite,Rylos,7,6,10,Taxite,Tierra Nova,5,6,10,Lodestar
Frankenstrike,Snare-oh,Actionite,Rylos,10,7,8,Earlyite,Vulcan,5,6,7,Frankenstrike
Snare-oh,Echo Echo,Aite,Vulcan,5,6,7,Workite,Rylos,8,4,8,Grey Matter
Ultimate Wildmutt,Jetpack Alien,Respondite,Altair IV,10,10,5,Townite,Tau Ceti,8,9,8,Ultimate Wildmutt
Goop,Whampire,Alsoite,Ego the Living Planet,9,8,7,Riskite,Zygara,9,10,6,Goop
XLR8,Gravattack,Withoutite,Beta Hydri,9,5,8,Greenite,Kratos IV,5,7,6,Gravattack
Toepick,Heatblast,Whereite,Xandar,7,6,9,Storeite,Talos IV,9,6,6,Toepick
Water Hazard,Feedback,Seaite,Xandar,9,10,8,Minuteite,Pandora,9,7,10,Water Hazard
Big Chill,Chamalien,Sourceite,Vortis,9,5,8,Articleite,Alpha Centauri,5,4,5,Chamalien
Ultimate Way Big,Overflow,Threeite,Hala,7,4,6,Receiveite,Nebulon,6,7,8,Overflow
Ultimate Echo Echo,Ultimate Way Big,Totalite,Solaris,6,6,9,Threeite,Hala,7,4,6,Ultimate Echo Echo
Bloxx,Ditto,Agentite,Hala,8,8,9,Workite,Alpha Centauri,8,4,6,Ditto
Brainstorm,Terraspin,Somebodyite,Xenon,7,4,7,Mostite,Orion Nebula,10,6,7,Terraspin
Wildmutt,Ditto,Bestite,Epsilon Eridani,8,8,5,Everite,Nexus Prime,9,4,8,Wildmutt
Grey Matter,Snare-oh,Girlite,Altair IV,9,5,6,Aite,Vulcan,5,6,7,Gax
Glitch Ben,Chamalien,Oilite,Vega,8,4,8,Articleite,Alpha Centauri,5,4,5,Chamalien
Upchuck,Armodrillo,Particularlyite,Altair IV,7,10,5,Discussionite,Tierra Nova,5,4,10,Upchuck
Upchuck,Armodrillo,Particularite,Beta Hydri,7,10,5,Discussionite,Tierra Nova,5,4,10,Armodrillo
Humungousaur,Ultimate Gravattack,Lateite,Rylos,5,8,10,Actite,Rylos,10,4,7,Humungousaur
Atomix,Fasttrack,Eastite,Rylos,10,5,10,Programite,Altair IV,9,10,10,Atomix
Shocksquatch,Cannonbolt,Storeite,Omega Centauri,9,6,6,Minuteite,Nebulon,10,10,7,Gax
Ditto,Swampfire,Workite,Alpha Centauri,8,4,6,Electionite,Krypton,9,4,10,Swampfire
Ultimate Swampfire,XLR8,Centuryite,Ego the Living Planet,9,10,10,Withoutite,Beta Hydri,7,5,8,Ultimate Swampfire
Humungousaur,Ultimate Gravattack,Lateite,Rylos,5,8,10,Actite,Rylos,10,4,7,Humungousaur
Shock Rock,Eatle,Littleite,Rylos,7,6,6,Valueite,Orion Nebula,5,7,5,Eatle
Frankenstrike,Snare-oh,Actionite,Rylos,10,7,8,Aite,Vulcan,5,6,7,Frankenstrike
Lodestar,Ultimate Gravattack,Cellite,Krypton,6,8,10,Actite,Rylos,10,4,7,Lodestar
Fasttrack,Ultimate Spidermonkey,Programite,Altair IV,9,10,10,Sendite,Nebulon,10,10,5,Ultimate Spidermonkey
Ultimate Humungousaur,Jetray,Togetherite,Vega,10,4,6,Dealite,Tau Ceti,9,8,9,Jetray
Big Chill,Ultimate Cannonbolt,Sourceite,Vortis,9,5,8,Spaceite,Xandar,8,9,9,Ultimate Cannonbolt
Ultimate Spidermonkey,Ditto,Sendite,Nebulon,10,10,5,Oilite,Vega,8,4,6,Ditto
Rath,Diamondhead,Loseite,Vega,8,7,8,Simpleite,Vega,7,7,6,Ultimate Humungousaur
Slapback,Bloxx,Personite,Hala,9,6,5,Agentite,Sirius,8,10,9,Slapback
Shocksquatch,Cannonbolt,Everite,Zygara,9,6,6,Minuteite,Nebulon,10,10,7,Whampire
Bloxx,Ditto,Agentite,Hala,8,10,9,Workite,Alpha Centauri,8,4,6,Ditto
Brainstorm,Terraspin,Somebodyite,Xenon,7,4,7,Maybeite,Sirius,10,10,7,Ultimate Big Chill
Alien X,Ultimate Swampfire,Indeedite,Andromeda Prime,7,8,6,Centuryite,Ego the Living Planet,9,10,10,Ultimate Swampfire
Frankenstrike,Snare-oh,Actionite,Nexus Prime,10,7,8,Aite,Vulcan,5,6,7,Snare-oh
Ultimate Wildmutt,Jetpack Alien,Respondite,Altair IV,10,6,5,Townite,Tau Ceti,8,9,8,Ultimate Wildmutt
Blitzwolfer,Toepick,Personite,Talos IV,9,9,7,Whereite,Xandar,7,6,9,Blitzwolfer
Four Arms,Pesky Dust,Decideite,Epsilon Eridani,8,4,5,Everite,Solaris,6,8,7,The Worst
Bullfrag,Ultimate Big Chill,Mostite,Ego the Living Planet,5,6,7,Herite,Sirius,9,10,9,Ultimate Big Chill
Stinkfly,Slapback,Nameite,Alpha Centauri,5,5,10,Personite,Hala,9,6,5,Stinkfly
Diamondhead,Snare-oh,Faceite,Zygara,7,7,9,Aite,Vulcan,5,6,7,Diamondhead
Terraspin,Ultimate Big Chill,Mostite,Sirius,10,6,7,Herite,Sirius,9,10,9,Terraspin
XLR8,Chamalien,Sourceite,Vortis,9,5,8,Articleite,Alpha Centauri,5,4,5,Big Chill
Astrodactyl,Ultimate Gravattack,Acrossite,Hala,10,7,8,Actite,Rylos,10,4,7,Astrodactyl
Cannonbolt,Big Chill,Minuteite,Nebulon,10,10,7,Sourceite,Vortis,9,5,8,Cannonbolt
Blitzwolfer,Toepick,Storeite,Talos IV,9,6,6,Whereite,Xandar,7,6,9,Blitzwolfer
XLR8,Gravattack,Withoutite,Beta Hydri,9,5,8,Greenite,Kratos IV,5,7,6,Ultimate Swampfire
Big Chill,Chamalien,Sourceite,Vortis,9,5,8,Articleite,Alpha Centauri,5,4,5,Big Chill
Goop,Whampire,Alsoite,Ego the Living Planet,9,8,7,Riskite,Zygara,9,10,6,Goop
Humungousaur,Ultimate Gravattack,Lateite,Rylos,5,8,10,Actite,Rylos,10,4,7,Humungousaur
Stinkfly,Slapback,Eastite,Alpha Centauri,5,5,10,Personite,Hala,9,6,5,Wildmutt
Alien X,Ultimate Swampfire,Indeedite,Andromeda Prime,7,8,6,Centuryite,Ego the Living Planet,9,10,10,Whampire
Shocksquatch,Cannonbolt,Everite,Omega Centauri,9,6,6,Minuteite,Nebulon,10,10,7,Shocksquatch
Water Hazard,Upgrade,Seaite,Xandar,9,10,8,Minuteite,Altair IV,9,7,10,Pesky Dust
Walkatrout,Grey Matter,Taxite,Vulcan,5,9,9,Groundite,Krypton,8,9,6,Grey Matter
Cannonbolt,Big Chill,Minuteite,Nebulon,10,7,7,Sourceite,Vortis,9,5,8,Big Chill
Brainstorm,Terraspin,Somebodyite,Xenon,7,4,7,Mostite,Orion Nebula,10,6,7,Terraspin
Pesky Dust,Way Big,Simpleite,Nexus Prime,6,8,7,Formite,Tierra Nova,7,8,10,Way Big
The Worst,Wildmutt,Decideite,Epsilon Eridani,8,9,5,Chanceite,Epsilon Eridani,8,6,10,Ultimate Echo Echo
Ditto,Jury Rigg,Workite,Solaris,8,8,8,Electionite,Ego the Living Planet,9,4,10,Wildmutt
Goop,Whampire,Alsoite,Ego the Living Planet,9,8,7,Riskite,Zygara,9,10,6,Goop
Frankenstrike,Snare-oh,Actionite,Rylos,10,7,8,Aite,Vulcan,5,6,7,Frankenstrike
Fasttrack,Ultimate Spidermonkey,Programite,Altair IV,9,10,10,Sendite,Nebulon,10,10,5,Ultimate Swampfire
Gravattack,Wildmutt,Greenite,Pandora,5,7,6,Chanceite,Epsilon Eridani,8,6,10,Gravattack
Alien X,Ultimate Swampfire,Indeedite,Andromeda Prime,7,8,6,Herite,Ego the Living Planet,9,10,9,Ultimate Big Chill
The Worst,Way Big,Candidateite,Qonos,6,8,6,Norite,Epsilon Eridani,7,4,10,Jury Rigg
Stinkfly,Slapback,Nameite,Alpha Centauri,5,5,10,Alsoite,Hala,9,6,5,Stinkfly
Bloxx,Ditto,Agentite,Hala,8,8,9,Workite,Alpha Centauri,8,4,6,Ditto
Spidermonkey,AmpFibian,Faceite,Vega,7,6,9,Particularite,Zantron,5,6,5,Snare-oh
Glitch Ben,Diamondhead,Oilite,Vega,8,4,8,Evidenceite,Vega,7,5,9,Glitch Ben
Ultimate Spidermonkey,Four Arms,Sendite,Nebulon,10,10,5,Decideite,Epsilon Eridani,8,4,5,Four Arms
Toepick,Feedback,Whereite,Xandar,7,6,9,Particularite,Talos IV,9,6,9,Toepick
Eye Guy,Fasttrack,Middleite,Kratos IV,10,4,8,Programite,Altair IV,9,10,10,Eye Guy
Terraspin,Ultimate Big Chill,Mostite,Orion Nebula,10,6,7,Herite,Sirius,9,10,9,Ultimate Big Chill
The Worst,Toepick,Addite,Tierra Nova,9,9,6,Aite,Xandar,6,9,9,Ultimate Cannonbolt
Ultimate Spidermonkey,Four Arms,Sendite,Nebulon,10,10,8,Decideite,Epsilon Eridani,8,4,5,Gravattack
Blitzwolfer,Toepick,Storeite,Talos IV,9,6,6,Whereite,Xandar,7,6,9,Blitzwolfer
Terraspin,Ultimate Way Big,Mostite,Orion Nebula,10,6,7,Threeite,Hala,7,4,6,Terraspin
Swampfire,Toepick,Decideite,Epsilon Eridani,8,4,10,Everite,Omega Centauri,6,6,9,The Worst
Ultimate Humungousaur,Jetray,Togetherite,Vega,10,4,6,Storeite,Tau Ceti,9,8,9,Ultimate Humungousaur
Frankenstrike,Feedback,Actionite,Rylos,10,7,8,Norite,Vulcan,5,6,7,Gravattack
Fasttrack,Ultimate Spidermonkey,Programite,Altair IV,9,10,10,Sendite,Nebulon,10,10,5,Ultimate Spidermonkey
Spidermonkey,Terraspin,Somebodyite,Xenon,7,4,7,Mostite,Orion Nebula,5,6,7,Terraspin
Ultimate Cannonbolt,Big Chill,Actionite,Tierra Nova,9,8,6,Sourceite,Qonos,7,5,8,Big Chill
Terraspin,Ultimate Way Big,Mostite,Orion Nebula,10,6,7,Threeite,Hala,7,4,6,Terraspin
Ultimate Echo Echo,Ultimate Way Big,Totalite,Solaris,6,6,9,Threeite,Hala,7,4,6,Ultimate Way Big
Jury Rigg,Four Arms,Sendite,Qonos,8,4,8,Decideite,Epsilon Eridani,8,4,5,Four Arms
Diamondhead,Snare-oh,Faceite,Vega,7,7,9,Aite,Vulcan,5,6,7,Snare-oh
Ghostfreak,Jury Rigg,Chanceite,Solaris,8,8,6,Centuryite,Ego the Living Planet,9,10,10,Ditto
Stinkfly,Slapback,Nameite,Alpha Centauri,5,5,10,Personite,Hala,9,6,5,Atomix
Big Chill,Ultimate Cannonbolt,Sourceite,Vortis,9,5,8,Spaceite,Xandar,8,9,9,Ultimate Cannonbolt
Heatblast,Ultimate Echo Echo,Ontoite,Talos IV,9,6,9,Totalite,Solaris,6,6,9,Heatblast
Alien X,Ultimate Swampfire,Indeedite,Andromeda Prime,7,8,6,Centuryite,Ego the Living Planet,9,10,10,Ultimate Swampfire
Ball Weevil,Glitch Ben,Darkite,Nebulon,10,10,5,Townite,Vega,8,4,8,Glitch Ben
Goop,Whampire,Alsoite,Ego the Living Planet,9,8,7,Riskite,Zygara,9,10,6,Goop
Eatle,Ditto,Sendite,Rylos,10,10,5,Workite,Alpha Centauri,8,4,6,Ditto
Swampfire,Ultimate Echo Echo,Electionite,Krypton,9,4,10,Totalite,Solaris,6,6,9,Swampfire
Fasttrack,Ultimate Spidermonkey,Programite,Altair IV,9,10,10,Sendite,Nebulon,10,10,5,Ultimate Spidermonkey
Ultimate Way Big,Overflow,Candidateite,Hala,7,6,6,Receiveite,Nebulon,6,7,8,Overflow
Kickin Hawk,AmpFibian,Loseite,Tierra Nova,8,4,8,Dealite,Zantron,5,8,5,Kickin Hawk
Upchuck,Armodrillo,Particularlyite,Altair IV,7,10,5,Discussionite,Tierra Nova,5,4,10,Upchuck
Gax,Ball Weevil,Girlite,Altair IV,9,5,6,Darkite,Tierra Nova,5,10,8,Gax
Ultimate Cannonbolt,Way Big,Spaceite,Sirius,7,9,9,Norite,Beta Hydri,7,4,10,NRG
Bloxx,Ditto,Agentite,Hala,8,10,9,Workite,Alpha Centauri,8,4,6,Ditto
XLR8,Gravattack,Withoutite,Beta Hydri,9,5,8,Greenite,Kratos IV,5,7,6,XLR8
Kickin Hawk,Chamalien,Loseite,Vortis,9,5,8,Articleite,Kratos IV,5,4,5,Kickin Hawk
Mole-Stache,Ultimate Big Chill,Yardite,Vega,5,4,6,Alsoite,Ego the Living Planet,9,10,8,Mole-Stache
Brainstorm,Terraspin,Somebodyite,Xenon,7,4,7,Mostite,Orion Nebula,10,6,7,Terraspin
Ultimate Echo Echo,Feedback,Electionite,Zygara,5,6,6,Norite,Beta Hydri,7,4,8,Pesky Dust
Spidermonkey,AmpFibian,Faceite,Vega,7,7,9,Particularite,Zantron,5,6,5,AmpFibian
Ultimate Echo Echo,Ultimate Way Big,Totalite,Solaris,6,6,9,Threeite,Alpha Centauri,7,4,6,Ultimate Echo Echo
Ultimate Swampfire,Whampire,Centuryite,Ego the Living Planet,8,10,6,Withoutite,Qonos,7,5,8,Whampire
Ultimate Way Big,Overflow,Threeite,Hala,7,4,6,Receiveite,Nebulon,6,7,8,Overflow
Ultimate Wildmutt,Jetpack Alien,Respondite,Altair IV,10,9,5,Townite,Tau Ceti,8,9,8,Jetpack Alien
Ultimate Spidermonkey,Ditto,Darkite,Nebulon,5,10,5,Workite,Epsilon Eridani,8,4,6,Ditto
Way Big,Four Arms,Toughite,Tierra Nova,7,4,8,Decideite,Epsilon Eridani,8,4,5,Four Arms
Ghostfreak,Whampire,Maybeite,Solaris,8,8,6,Girlite,Altair IV,9,5,6,Ghostfreak
Atomix,Fasttrack,Eastite,Rylos,10,5,10,Toughite,Altair IV,9,10,10,Atomix
Frankenstrike,Snare-oh,Actionite,Rylos,10,7,8,Earlyite,Vulcan,5,6,7,Frankenstrike
Ultimate Swampfire,XLR8,Centuryite,Ego the Living Planet,9,10,10,Toughite,Qonos,7,4,8,Ultimate Swampfire
Big Chill,Chamalien,Sourceite,Vortis,9,5,8,Articleite,Alpha Centauri,5,4,5,Chamalien
Stinkfly,Slapback,Whereite,Rylos,7,5,10,Particularlyite,Hala,9,6,5,Four Arms
Brainstorm,Terraspin,Somebodyite,Xenon,7,4,7,Mostite,Orion Nebula,10,6,7,Terraspin
Humungousaur,Ultimate Gravattack,Lateite,Rylos,5,8,10,Actite,Rylos,10,4,7,Humungousaur
Astrodactyl,Ultimate Gravattack,Acrossite,Hala,10,7,8,Actite,Rylos,10,4,7,Astrodactyl
Lodestar,Ultimate Gravattack,Cellite,Krypton,6,8,10,Actite,Rylos,10,4,7,Lodestar
Humungousaur,Ultimate Gravattack,Lateite,Rylos,5,8,10,Actite,Rylos,10,4,7,Humungousaur
Overflow,Big Chill,Receiveite,Nebulon,6,7,10,Sourceite,Vortis,9,5,8,Wildmutt
Rath,Eatle,Bestite,Vega,5,8,8,Valueite,Orion Nebula,5,7,5,Eatle
Snare-oh,Echo Echo,Aite,Vulcan,5,6,7,Groundite,Rylos,8,4,8,Echo Echo
Eatle,Ultimate Way Big,Valueite,Orion Nebula,5,7,5,Threeite,Beta Hydri,7,4,6,Ultimate Way Big
Shock Rock,Eatle,Littleite,Zygara,7,6,6,Valueite,Orion Nebula,5,7,5,Eatle
The Worst,Jetray,Togetherite,Tierra Nova,10,4,6,Thusite,Tierra Nova,7,10,10,Walkatrout
Gax,Ultimate Spidermonkey,Girlite,Altair IV,7,5,10,Darkite,Tierra Nova,5,6,7,Ball Weevil
Goop,Whampire,Alsoite,Ego the Living Planet,9,8,7,Riskite,Zygara,9,10,6,Whampire
Mole-Stache,Ultimate Big Chill,Yardite,Vega,5,4,6,Alsoite,Ego the Living Planet,9,10,10,Mole-Stache
Kickin Hawk,AmpFibian,Loseite,Tierra Nova,8,5,8,Particularite,Zantron,5,8,5,AmpFibian
Slapback,Bloxx,Personite,Hala,9,6,5,Agentite,Hala,6,10,9,Slapback
Blitzwolfer,Toepick,Storeite,Talos IV,9,6,6,Whereite,Xandar,7,6,9,Blitzwolfer
Water Hazard,Upgrade,Seaite,Xandar,9,10,9,Minuteite,Pandora,9,7,10,Upgrade
Ball Weevil,Glitch Ben,Darkite,Tierra Nova,10,5,6,Townite,Vega,8,9,8,Jury Rigg
Goop,Whampire,Alsoite,Ego the Living Planet,9,8,7,Riskite,Zygara,9,10,6,Goop
Gax,Ultimate Wildmutt,Littleite,Zygara,9,6,6,Valueite,Hala,5,10,5,Eatle
Walkatrout,Grey Matter,Taxite,Vulcan,5,9,9,Groundite,Krypton,7,4,6,Grey Matter
Spidermonkey,AmpFibian,Faceite,Vega,7,7,9,Particularite,Zantron,5,8,5,Crashhopper
Wildmutt,Walkatrout,Greenite,Rylos,5,5,10,Actite,Vulcan,10,6,7,Alien X
Kickin Hawk,Gravattack,Withoutite,Beta Hydri,8,5,8,Greenite,Kratos IV,5,7,6,Gravattack
Ultimate Cannonbolt,Upchuck,Spaceite,Zantron,7,9,9,Norite,Krypton,7,4,10,Toepick
Overflow,Big Chill,Receiveite,Nebulon,6,7,10,Sourceite,Vortis,9,5,8,Jury Rigg
AmpFibian,Way Big,Particularite,Zantron,5,8,5,Formite,Tierra Nova,7,8,10,AmpFibian
Glitch Ben,Glitch Ben,Darkite,Vega,10,4,8,Oilite,Vega,8,7,9,Ultimate Humungousaur
Shocksquatch,Cannonbolt,Everite,Omega Centauri,5,6,6,Minuteite,Nebulon,10,10,7,Shocksquatch
Gravattack,Wildmutt,Greenite,Kratos IV,5,7,6,Chanceite,Epsilon Eridani,8,6,10,Gravattack
Overflow,Big Chill,Receiveite,Nebulon,6,7,7,Sourceite,Vortis,9,5,8,Big Chill
Ultimate Cannonbolt,Way Big,Faceite,Vulcan,9,9,9,Formite,Krypton,7,4,10,NRG
Frankenstrike,Wildmutt,Greenite,Kratos IV,5,7,6,Chanceite,Epsilon Eridani,8,6,10,Humungousaur
Ultimate Way Big,Overflow,Threeite,Hala,7,4,6,Receiveite,Nebulon,6,7,8,Overflow
Wildvine,Ultimate Swampfire,Withoutite,Solaris,9,5,8,Centuryite,Ego the Living Planet,9,10,10,Ultimate Swampfire
AmpFibian,Way Big,Particularite,Zantron,5,8,5,Formite,Tierra Nova,7,8,6,AmpFibian
Glitch Ben,Glitch Ben,Oilite,Vega,8,4,8,Evidenceite,Vega,7,7,9,Glitch Ben
Big Chill,Chamalien,Sourceite,Vortis,9,5,8,Articleite,Alpha Centauri,5,4,5,Chamalien
Blitzwolfer,Toepick,Storeite,Talos IV,9,6,6,Whereite,Xandar,7,6,9,Blitzwolfer
Diamondhead,Snare-oh,Evidenceite,Vega,7,7,9,Aite,Vulcan,5,6,7,Snare-oh
Goop,Whampire,Alsoite,Ego the Living Planet,9,8,7,Riskite,Zygara,9,10,6,Goop
Eatle,Ultimate Way Big,Valueite,Orion Nebula,5,7,5,Threeite,Hala,7,4,6,Ultimate Way Big
Ultimate Echo Echo,Ultimate Swampfire,Totalite,Solaris,6,6,9,Centuryite,Ego the Living Planet,9,10,10,Ultimate Echo Echo
NRG,Armodrillo,Earlyite,Rylos,7,5,10,Taxite,Krypton,9,4,10,Lodestar
AmpFibian,Way Big,Particularite,Zantron,5,8,5,Formite,Tierra Nova,7,8,10,AmpFibian
Glitch Ben,Diamondhead,Oilite,Vega,8,4,8,Togetherite,Vega,7,7,9,Glitch Ben
Jetray,Lodestar,Dealite,Tau Ceti,9,8,9,Cellite,Krypton,6,8,10,Jetray
Glitch Ben,Glitch Ben,Darkite,Vega,10,4,8,Oilite,Vega,9,7,9,Ultimate Humungousaur
Jetray,Lodestar,Dealite,Tau Ceti,9,8,9,Cellite,Krypton,6,8,10,Lodestar
Fasttrack,Ultimate Spidermonkey,Programite,Altair IV,9,10,5,Sendite,Nebulon,10,10,5,Fasttrack
Wildvine,Ultimate Swampfire,Withoutite,Solaris,9,5,8,Centuryite,Ego the Living Planet,9,10,10,Ultimate Swampfire
Chamalien,Ditto,Articleite,Alpha Centauri,5,4,5,Workite,Alpha Centauri,8,4,6,Ditto
Slapback,Bloxx,Personite,Hala,9,6,5,Agentite,Sirius,8,10,9,Slapback
Wildvine,Ultimate Swampfire,Herite,Sirius,9,10,9,Centuryite,Ego the Living Planet,9,10,10,Ultimate Swampfire
Jury Rigg,Four Arms,Formite,Tierra Nova,7,4,8,Decideite,Epsilon Eridani,8,4,5,Jury Rigg
Ultimate Wildmutt,Jetpack Alien,Respondite,Altair IV,10,9,5,Townite,Tau Ceti,8,9,8,Jetpack Alien
Slapback,Bloxx,Personite,Hala,9,6,5,Agentite,Hala,8,10,9,Slapback
Pesky Dust,Way Big,Simpleite,Nexus Prime,6,7,7,Formite,Tierra Nova,7,8,10,Pesky Dust
Frankenstrike,Snare-oh,Actionite,Rylos,10,7,8,Aite,Vulcan,5,6,7,Frankenstrike
Chamalien,Ditto,Articleite,Vega,5,4,5,Simpleite,Nexus Prime,6,4,7,The Worst
Ultimate Echo Echo,Ultimate Way Big,Totalite,Solaris,6,6,7,Threeite,Hala,7,4,6,Jury Rigg
XLR8,Feedback,Spaceite,Xandar,9,10,8,Minuteite,Pandora,7,7,10,Upgrade
Ultimate Cannonbolt,Wildmutt,Spaceite,Kratos IV,7,4,6,Chanceite,Epsilon Eridani,8,6,10,Upchuck
Ultimate Big Chill,Ultimate Swampfire,Herite,Sirius,9,10,9,Centuryite,Ego the Living Planet,9,10,10,Ultimate Swampfire
Ultimate Spidermonkey,Four Arms,Sendite,Nebulon,10,10,5,Decideite,Epsilon Eridani,8,4,5,Four Arms
Goop,Whampire,Personite,Ego the Living Planet,9,8,7,Riskite,Zygara,9,10,6,Goop
Gravattack,Wildmutt,Simpleite,Kratos IV,6,7,6,Chanceite,Epsilon Eridani,8,6,10,Gravattack
Ultimate Wildmutt,Jetpack Alien,Respondite,Altair IV,10,9,5,Townite,Tau Ceti,8,9,8,Jetpack Alien
Water Hazard,Feedback,Seaite,Xandar,9,6,8,Minuteite,Pandora,9,7,10,Water Hazard
Ghostfreak,Gax,Maybeite,Ego the Living Planet,8,8,6,Girlite,Altair IV,9,10,6,Ghostfreak
Walkatrout,Grey Matter,Taxite,Vulcan,5,9,9,Groundite,Krypton,8,4,6,Grey Matter
Mole-Stache,Goop,Yardite,Vega,7,4,6,Alsoite,Ego the Living Planet,9,10,9,Mole-Stache
Wildvine,Ultimate Swampfire,Withoutite,Solaris,9,5,8,Centuryite,Ego the Living Planet,5,5,10,Ultimate Swampfire
Big Chill,Chamalien,Sourceite,Vortis,9,5,8,Articleite,Alpha Centauri,5,4,5,Big Chill
Snare-oh,Feedback,Aite,Vulcan,5,6,7,Leaderite,Rylos,8,4,8,Jetpack Alien
Jetpack Alien,Ghostfreak,Valueite,Tau Ceti,8,9,8,Maybeite,Solaris,8,8,6,Jetpack Alien
Brainstorm,Terraspin,Somebodyite,Xenon,7,4,7,Mostite,Orion Nebula,10,6,7,Terraspin
Ultimate Echo Echo,Ultimate Way Big,Totalite,Solaris,6,6,9,Threeite,Hala,8,4,6,Ultimate Echo Echo
Gax,Snare-oh,Girlite,Altair IV,9,5,6,Aite,Vulcan,5,6,7,Snare-oh
Fasttrack,Ultimate Spidermonkey,Programite,Altair IV,9,10,10,Sendite,Nebulon,10,10,5,Fasttrack
Upchuck,Armodrillo,Particularlyite,Altair IV,7,10,5,Discussionite,Tierra Nova,5,4,10,Upchuck
Ultimate Wildmutt,Jetpack Alien,Respondite,Altair IV,10,9,5,Townite,Tau Ceti,8,9,8,Ultimate Wildmutt
Fasttrack,Ultimate Spidermonkey,Programite,Altair IV,9,10,10,Sendite,Nebulon,10,10,5,Ultimate Spidermonkey
Atomix,Glitch Ben,Eastite,Rylos,10,5,10,Oilite,Vega,8,6,8,Atomix
Ultimate Way Big,Overflow,Threeite,Hala,7,4,6,Receiveite,Nebulon,6,7,8,Overflow
Mole-Stache,Overflow,Yardite,Vega,7,4,6,Receiveite,Nebulon,6,7,8,Chromastone
Jetpack Alien,Ghostfreak,Maybeite,Tau Ceti,8,9,8,Maybeite,Solaris,7,8,6,Jetpack Alien
Brainstorm,Terraspin,Somebodyite,Xenon,7,4,7,Mostite,Orion Nebula,10,6,7,Terraspin
Mole-Stache,Jetray,Yardite,Vega,5,4,6,Alsoite,Tau Ceti,9,8,8,Mole-Stache
Ultimate Echo Echo,Ultimate Swampfire,Totalite,Solaris,6,6,9,Centuryite,Ego the Living Planet,9,10,10,Ultimate Echo Echo
Jury Rigg,Four Arms,Toughite,Qonos,7,4,8,Decideite,Epsilon Eridani,8,4,5,Four Arms
